path,transcript ID,category,city,ID
terminaloutput/llama2/Alsace/full/output4full_ALS01_transcript.json,output4full_ALS01_transcript,full,Alsace,ALS01
terminaloutput/llama2/Alsace/full/output4full_ALS02_transcript.json,output4full_ALS02_transcript,full,Alsace,ALS02
terminaloutput/llama2/Alsace/full/output4full_ALS03_transcript.json,output4full_ALS03_transcript,full,Alsace,ALS03
terminaloutput/llama2/Alsace/full/output4full_ALS04_transcript.json,output4full_ALS04_transcript,full,Alsace,ALS04
terminaloutput/llama2/Alsace/full/output4full_ALS05_transcript.json,output4full_ALS05_transcript,full,Alsace,ALS05
terminaloutput/llama2/Alsace/full/output4full_ALS06_transcript.json,output4full_ALS06_transcript,full,Alsace,ALS06
terminaloutput/llama2/Alsace/full/output4full_ALS07_transcript.json,output4full_ALS07_transcript,full,Alsace,ALS07
terminaloutput/llama2/Alsace/full/output4full_ALS08_transcript.json,output4full_ALS08_transcript,full,Alsace,ALS08
terminaloutput/llama2/Alsace/full/output4full_ALS09_transcript.json,output4full_ALS09_transcript,full,Alsace,ALS09
terminaloutput/llama2/Alsace/full/output4full_ALS10_transcript.json,output4full_ALS10_transcript,full,Alsace,ALS10
terminaloutput/llama2/Alsace/full/output4full_ALS11_transcript.json,output4full_ALS11_transcript,full,Alsace,ALS11
terminaloutput/llama2/UPSaclay/full/output4full_AurelienBIGO_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_AurelienBIGO_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS01
terminaloutput/llama2/UPSaclay/full/output4full_BesnikSADRIJI_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_BesnikSADRIJI_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS02
terminaloutput/llama2/UPSaclay/full/output4full_DamienMAVALEIXMARCHESSOUX_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_DamienMAVALEIXMARCHESSOUX_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS03
terminaloutput/llama2/UPSaclay/full/output4full_EliesGHERBI_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_EliesGHERBI_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS04
terminaloutput/llama2/UPSaclay/full/output4full_GwenaëlleJEZEQUEL_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_GwenaëlleJEZEQUEL_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS05
terminaloutput/llama2/UPSaclay/full/output4full_HanaILLICHOVÁ_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_HanaILLICHOVÁ_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS06
terminaloutput/llama2/UPSaclay/full/output4full_IvanPALAIA__FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_IvanPALAIA__FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS07
terminaloutput/llama2/UPSaclay/full/output4full_JuliePALCZAK_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_JuliePALCZAK_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS08
terminaloutput/llama2/UPSaclay/full/output4full_KhaoulaBENMESSAOUD_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_KhaoulaBENMESSAOUD_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS09
terminaloutput/llama2/UPSaclay/full/output4full_ManonMARCHAND_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_ManonMARCHAND_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS10
terminaloutput/llama2/UPSaclay/full/output4full_MarieCHOLLATNAMY_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_MarieCHOLLATNAMY_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS11
terminaloutput/llama2/UPSaclay/full/output4full_PaulineAGOU_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_PaulineAGOU_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS12
terminaloutput/llama2/UPSaclay/full/output4full_PierreWalch_FinaleduconcoursMathèseen180secondesdel'UniversitéParis-Saclay_transcript.json,output4full_PierreWalch_FinaleduconcoursMathèseen180secondesdel'UniversitéParis-Saclay_transcript,full,UPSaclay,UPS13
terminaloutput/llama2/UPSaclay/full/output4full_RaphaelleTAUB_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript.json,output4full_RaphaelleTAUB_FinaleduconcoursMathèseen180secondesdel'UPSaclay_transcript,full,UPSaclay,UPS14
terminaloutput/llama2/UPSaclay/full/output4full_TracyDAGHER_FinaleduconcoursMathèseen180secondesdel'UniversitéParis-Saclay_transcript.json,output4full_TracyDAGHER_FinaleduconcoursMathèseen180secondesdel'UniversitéParis-Saclay_transcript,full,UPSaclay,UPS15
terminaloutput/llama2/Lorraine/full/output4full_MT180_AuroreFourcot_transcript.json,output4full_MT180_AuroreFourcot_transcript,full,Lorraine,LOR01
terminaloutput/llama2/Lorraine/full/output4full_MT180_DavidBekaert-1erPrixduJury_transcript.json,output4full_MT180_DavidBekaert-1erPrixduJury_transcript,full,Lorraine,LOR02
terminaloutput/llama2/Lorraine/full/output4full_MT180_ElodieCortelazzo-Polisini-2èmePrixduJury_transcript.json,output4full_MT180_ElodieCortelazzo-Polisini-2èmePrixduJury_transcript,full,Lorraine,LOR03
terminaloutput/llama2/Lorraine/full/output4full_MT180_FrançoisLeCor-3èmePrixduJury_transcript.json,output4full_MT180_FrançoisLeCor-3èmePrixduJury_transcript,full,Lorraine,LOR04
terminaloutput/llama2/Lorraine/full/output4full_MT180_ItsakaRakotonirina_transcript.json,output4full_MT180_ItsakaRakotonirina_transcript,full,Lorraine,LOR05
terminaloutput/llama2/Lorraine/full/output4full_MT180_LauraDéléant_transcript.json,output4full_MT180_LauraDéléant_transcript,full,Lorraine,LOR06
terminaloutput/llama2/Lorraine/full/output4full_MT180_LisaJeanson_transcript.json,output4full_MT180_LisaJeanson_transcript,full,Lorraine,LOR07
terminaloutput/llama2/Lorraine/full/output4full_MT180_LiseMaciejewski_transcript.json,output4full_MT180_LiseMaciejewski_transcript,full,Lorraine,LOR08
terminaloutput/llama2/Lorraine/full/output4full_MT180_RomaneTisserand_transcript.json,output4full_MT180_RomaneTisserand_transcript,full,Lorraine,LOR09
terminaloutput/llama2/Lorraine/full/output4full_MT180_TimothéeAudinot_transcript.json,output4full_MT180_TimothéeAudinot_transcript,full,Lorraine,LOR10
terminaloutput/llama2/LaRéunion/full/output4full_AnnabelCeleste-UniversitédeLaRéunion-2èmeprixdujury-MT1802019_transcript.json,output4full_AnnabelCeleste-UniversitédeLaRéunion-2èmeprixdujury-MT1802019_transcript,full,LaRéunion,LRE01
terminaloutput/llama2/LaRéunion/full/output4full_CamillePaquez-UniversitédeLaRéunion-MT1802019_transcript.json,output4full_CamillePaquez-UniversitédeLaRéunion-MT1802019_transcript,full,LaRéunion,LRE02
terminaloutput/llama2/LaRéunion/full/output4full_DanielPoultney-UniversitédeLaRéunion-MT1802019_transcript.json,output4full_DanielPoultney-UniversitédeLaRéunion-MT1802019_transcript,full,LaRéunion,LRE03
terminaloutput/llama2/LaRéunion/full/output4full_EmelineDeBoisvilliers-UniversitédeLaRéunion-MT1802019_transcript.json,output4full_EmelineDeBoisvilliers-UniversitédeLaRéunion-MT1802019_transcript,full,LaRéunion,LRE04
